Episode: 1960 | Steps: 4225007/10000000 | Avg reward: 36.700000 | loss: 0.166405 | Best: 48.500000
Episode: 1970 | Steps: 4245940/10000000 | Avg reward: 32.500000 | loss: 0.058351 | Best: 48.500000
Episode: 1980 | Steps: 4265842/10000000 | Avg reward: 42.600000 | loss: 0.213052 | Best: 48.500000
Episode: 1990 | Steps: 4284951/10000000 | Avg reward: 48.000000 | loss: 0.257227 | Best: 48.500000
Episode: 2000 | Steps: 4300896/10000000 | Avg reward: 51.300000 | loss: 0.195204 | Best: 48.500000
Episode: 2010 | Steps: 4317248/10000000 | Avg reward: 52.400000 | loss: 0.245160 | Best: 51.300000
Episode: 2020 | Steps: 4333499/10000000 | Avg reward: 53.000000 | loss: 0.212551 | Best: 52.400000
Episode: 2030 | Steps: 4351519/10000000 | Avg reward: 41.300000 | loss: 0.246584 | Best: 53.000000
Episode: 2040 | Steps: 4368919/10000000 | Avg reward: 47.800000 | loss: 0.319232 | Best: 53.000000
Episode: 2050 | Steps: 4388603/10000000 | Avg reward: 30.500000 | loss: 0.044554 | Best: 53.000000
Episode: 2060 | Steps: 4406842/10000000 | Avg reward: 37.200000 | loss: 0.114141 | Best: 53.000000
Episode: 2070 | Steps: 4426252/10000000 | Avg reward: 41.300000 | loss: 0.209547 | Best: 53.000000
Episode: 2080 | Steps: 4444165/10000000 | Avg reward: 47.300000 | loss: 0.187626 | Best: 53.000000
Episode: 2090 | Steps: 4462492/10000000 | Avg reward: 48.100000 | loss: 0.270782 | Best: 53.000000
Episode: 2100 | Steps: 4480281/10000000 | Avg reward: 53.200000 | loss: 0.191166 | Best: 53.000000
Episode: 2110 | Steps: 4497684/10000000 | Avg reward: 50.100000 | loss: 0.247365 | Best: 53.200000
Episode: 2120 | Steps: 4515425/10000000 | Avg reward: 44.700000 | loss: 0.315212 | Best: 53.200000
Episode: 2130 | Steps: 4535416/10000000 | Avg reward: 40.800000 | loss: 0.239858 | Best: 53.200000
Episode: 2140 | Steps: 4554364/10000000 | Avg reward: 48.600000 | loss: 0.193612 | Best: 53.200000
Episode: 2150 | Steps: 4571470/10000000 | Avg reward: 52.300000 | loss: 0.093947 | Best: 53.200000
Episode: 2160 | Steps: 4589244/10000000 | Avg reward: 50.700000 | loss: 0.161572 | Best: 53.200000
Episode: 2170 | Steps: 4607460/10000000 | Avg reward: 45.800000 | loss: 0.558420 | Best: 53.200000
Episode: 2180 | Steps: 4624469/10000000 | Avg reward: 50.600000 | loss: 0.140403 | Best: 53.200000
Episode: 2190 | Steps: 4643300/10000000 | Avg reward: 51.700000 | loss: 0.291949 | Best: 53.200000
Episode: 2200 | Steps: 4660590/10000000 | Avg reward: 50.600000 | loss: 0.424571 | Best: 53.200000
Episode: 2210 | Steps: 4678856/10000000 | Avg reward: 39.000000 | loss: 0.119586 | Best: 53.200000
Episode: 2220 | Steps: 4697081/10000000 | Avg reward: 45.600000 | loss: 0.131115 | Best: 53.200000
Episode: 2230 | Steps: 4716740/10000000 | Avg reward: 39.400000 | loss: 0.226382 | Best: 53.200000
Episode: 2240 | Steps: 4735089/10000000 | Avg reward: 39.300000 | loss: 0.337348 | Best: 53.200000
Episode: 2250 | Steps: 4753158/10000000 | Avg reward: 45.700000 | loss: 0.169838 | Best: 53.200000
Episode: 2260 | Steps: 4772572/10000000 | Avg reward: 43.800000 | loss: 0.053007 | Best: 53.200000
Episode: 2270 | Steps: 4790433/10000000 | Avg reward: 48.900000 | loss: 0.156884 | Best: 53.200000
Episode: 2280 | Steps: 4809677/10000000 | Avg reward: 44.400000 | loss: 0.047187 | Best: 53.200000
Episode: 2290 | Steps: 4827914/10000000 | Avg reward: 48.300000 | loss: 0.184636 | Best: 53.200000
Episode: 2300 | Steps: 4843863/10000000 | Avg reward: 49.200000 | loss: 0.224918 | Best: 53.200000
Episode: 2310 | Steps: 4861243/10000000 | Avg reward: 45.300000 | loss: 0.174011 | Best: 53.200000
Episode: 2320 | Steps: 4879424/10000000 | Avg reward: 42.700000 | loss: 0.296460 | Best: 53.200000
Episode: 2330 | Steps: 4895756/10000000 | Avg reward: 48.000000 | loss: 0.240825 | Best: 53.200000
Episode: 2340 | Steps: 4914966/10000000 | Avg reward: 39.200000 | loss: 0.192536 | Best: 53.200000
Episode: 2350 | Steps: 4932763/10000000 | Avg reward: 41.400000 | loss: 0.044807 | Best: 53.200000
Episode: 2360 | Steps: 4950355/10000000 | Avg reward: 43.600000 | loss: 0.143750 | Best: 53.200000
